1774263259.8405113; o; keyup
1774263259.8545105; Key.alt_r; keyup
1774263259.96275; w; keydown
1774263260.0465457; w; keyup
1774263260.6528437; .; keydown
1774263260.7285926; .; keyup
1774263261.0712879; Key.enter; keydown
1774263261.126639; Key.enter; keyup
1774263263.6112585; Key.esc; keydown
1774263263.7406816; Key.esc; keyup
