1774266395.1707408; i; keyup
1774266395.3030396; Key.space; keydown
1774266395.3766966; Key.space; keyup
1774266395.604571; g; keydown
1774266395.6806805; g; keyup
1774266395.7950308; r; keydown
1774266395.8865721; r; keyup
1774266395.9310105; a; keydown
1774266396.0327237; a; keyup
1774266396.4626012; f; keydown
1774266396.5662837; f; keyup
1774266396.6429672; i; keydown
1774266396.706368; i; keyup
1774266396.7569592; c; keydown
1774266396.8447578; c; keyup
1774266396.91702; z; keydown
1774266397.0005484; z; keyup
1774266397.0069604; n; keydown
1774266397.070328; n; keyup
1774266397.1168447; i; keydown
1774266397.194627; i; keyup
1774266397.214994; e; keydown
1774266397.2822018; e; keyup
1774266397.4049547; Key.space; keydown
1774266397.460525; Key.space; keyup
1774266397.4829454; z; keydown
1774266397.6206822; z; keyup
1774266397.6706972; a; keydown
1774266397.7725563; a; keyup
1774266397.827035; Key.alt_r; keydown
1774266397.9509468; l; keydown
1774266398.058528; l; keyup
1774266398.3226144; o; keydown
1774266398.4520252; o; keyup
1774266398.5625365; Key.alt_r; keyup
1774266398.768595; Key.alt_r; keydown
1774266399.878899; c; keydown
1774266399.9320176; c; keyup
1774266399.981848; Key.alt_r; keyup
1774266400.6328356; Key.space; keydown
1774266400.6882193; Key.space; keyup
1774266401.3088484; f; keydown
1774266401.3844569; f; keyup
1774266401.4605794; u; keydown
1774266401.5160677; u; keyup
1774266401.5767536; z; keydown
1774266401.664137; z; keyup
1774266401.7328744; j; keydown
1774266401.7901075; j; keyup
1774266401.9845293; Key.alt_r; keydown
1774266402.0943594; e; keydown
1774266402.1502252; e; keyup
1774266402.1664827; Key.alt_r; keyup
1774266402.308225; Key.space; keydown
1774266402.370426; Key.space; keyup
1774266402.6148384; p; keydown
1774266402.6722932; p; keyup
1774266402.718474; r; keydown
1774266402.782564; r; keyup
1774266402.9268184; o; keydown
1774266403.0302508; o; keyup
1774266403.4965715; j; keydown
1774266403.5601041; j; keyup
1774266403.6107798; e; keydown
1774266403.6844585; e; keyup
1774266403.7305298; k; keydown
1774266403.8018532; k; keyup
1774266404.0282016; t; keydown
1774266404.1177142; t; keyup
1774266405.6041682; Key.alt_r; keydown
1774266405.8079782; o; keydown
1774266405.8817198; Key.alt_r; keyup
1774266405.9300928; w; keydown
1774266405.9360719; o; keyup
1774266405.9956672; w; keyup
1774266406.4783468; .; keydown
1774266406.5321736; .; keyup
1774266406.762742; Key.enter; keydown
1774266406.822309; Key.enter; keyup
